pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,caught,x_coord,y_coord,flight_time_s,fielder_x,fielder_y,fielder_distance_to_ball
CH,2025-05-19,86.5,2.12,5.71,"Renfroe, Hunter",527038,663460,field_out,hit_into_play,,,,,14.0,Wilmer Flores flies out to right fielder Hunter Renfroe.,R,R,L,SF,KC,X,9,fly_ball,2,1,2025,1.49,0.12,0.93,2.32,,,,0,4,Bot,204.0,120.92,,,,,-5.93745816664931,-125.9163302595084,-2.175942312893241,17.082607265103885,23.739306310702,-30.71632486595456,3.24,1.62,272.0,82.9,41.0,87.4,1901.0,6.7,777855,521692,686469,686681,672580,677951,592192,664728,592669,53.81,0.009,0.01,0.0,1.0,0,0,3.0,27,4,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,117.0,-0.027,-0.306,66.5,7.0,0.013,0.306,88.0,0,0,0.559,0.559,27,33,28,34,2,1,6.0,1.0,6.0,1.0,2.91,1.49,-1.49,33.9,5.1154519565008405,7.355404674173714,31.237228590526207,45.59742830139575,24.3264914453827,1,193.8441666501026,190.8099553370506,4.995867889397283,135.67728164512243,255.1718543362299,86.7516026016992
ST,2025-05-19,83.6,-2.66,4.41,"Renfroe, Hunter",808982,670167,double,hit_into_play,,,,,9.0,Jung Hoo Lee doubles (13) on a line drive to right fielder Hunter Renfroe. Sam Huff scores. Heliot Ramos to 3rd.,R,L,R,SF,KC,X,9,line_drive,1,0,2025,1.31,-0.11,0.35,1.61,,669087.0,671218.0,2,8,Bot,209.08,115.2,,,,,4.374635341559358,-121.6754872355573,0.299134429432319,11.856042225393375,27.63285737089141,-33.54746452190059,3.25,1.42,174.0,90.1,13.0,83.4,2550.0,6.5,777855,521692,686469,686681,672580,677951,680118,664728,592669,54.0,0.917,0.891,1.25,1.0,1,1,4.0,61,2,Sweeper,0,2,0,2,2,1,1,2,Standard,Standard,68.0,0.173,0.969,80.7,8.1,1.091,-0.969,90.1,-2,-2,0.153,0.153,31,26,31,27,1,3,1.0,1.0,4.0,1.0,3.41,-1.31,1.31,9.8,11.33960630014877,-15.706468614242144,44.81355425256338,24.81806564888248,33.70288613633787,0,123.47119091772892,122.60042827558858,1.9437994108580172,135.67728164512243,255.1718543362299,133.13215861916103
SL,2025-05-19,87.8,-1.88,6.16,"Renfroe, Hunter",664774,608032,single,hit_into_play,,,,,7.0,LaMonte Wade Jr. singles on a sharp line drive to right fielder Hunter Renfroe.,R,L,R,SF,KC,X,9,line_drive,0,1,2025,0.27,0.25,-0.67,1.62,,,,1,9,Bot,167.85,78.25,,,,,2.350576287722285,-127.88438855192682,-5.42202732935623,2.556309209168623,25.244466073268192,-28.54507910289271,3.19,1.46,275.0,102.8,13.0,87.7,2199.0,6.1,777855,521692,686469,686681,672580,677951,680118,664728,592669,54.43,0.914,0.908,0.9,1.0,1,0,4.0,69,2,Slider,1,3,1,3,3,1,1,3,Infield shade,Standard,173.0,0.06,0.454,71.8,7.3,1.193,-0.454,102.8,-2,-2,0.043,0.043,32,31,33,31,1,0,1.0,1.0,6.0,1.0,2.69,-0.27,0.27,42.6,8.440592847050686,-2.012123603010467,31.86426162405329,36.697414000437206,35.543550667279945,0,91.65998817818301,259.27484754054984,2.1933481815531795,135.67728164512243,255.1718543362299,44.20810646690676
SL,2025-05-18,84.8,-1.57,6.43,"Renfroe, Hunter",671056,608379,field_out,hit_into_play,,,,,3.0,Iván Herrera lines out to right fielder Hunter Renfroe.,R,R,R,KC,STL,X,9,line_drive,0,1,2025,0.54,0.03,0.74,3.02,,,,0,4,Top,193.69,106.72,,,,,4.354797230870901,-123.50311469832104,-1.749223260857883,4.74312965483185,23.41270536270158,-31.701166363763026,3.38,1.54,284.0,99.9,18.0,85.7,2062.0,6.7,777864,666023,521692,686681,672580,677951,592192,680118,592669,53.77,0.409,0.465,0.0,1.0,0,0,4.0,29,2,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,120.0,0.027,-0.22,75.5,7.6,0.709,0.22,99.9,0,0,0.5,0.5,33,25,34,25,2,1,6.0,1.0,6.0,1.0,3.12,-0.54,-0.54,49.4,5.769344468734668,22.675151552950275,26.71726051294739,46.50796185430457,17.42275879932005,1,169.7746686825007,227.66765662637968,2.8792872834973755,135.67728164512243,255.1718543362299,43.80767848721616
SL,2025-05-18,87.3,1.14,5.77,"Renfroe, Hunter",680977,663738,single,hit_into_play,,,,,8.0,Brendan Donovan singles on a sharp line drive to right fielder Hunter Renfroe.,R,L,L,KC,STL,X,9,line_drive,2,1,2025,-0.06,0.56,0.15,2.12,,,,1,7,Top,174.99,88.6,,,,,-2.271869282513004,-127.1585467922812,-3.8713375004060913,-0.2182397346987307,23.199669713035487,-25.57020981539632,3.38,1.65,254.0,105.7,11.0,87.9,2328.0,6.4,777864,666023,521692,686681,672580,677951,592192,680118,592669,54.12,0.943,0.936,0.9,1.0,1,0,4.0,56,4,Slider,1,1,1,1,1,1,1,1,Standard,Standard,163.0,-0.043,0.371,72.4,7.0,1.227,-0.371,105.7,0,0,0.539,0.461,28,28,29,28,1,3,2.0,1.0,1.0,1.0,2.4,-0.06,-0.06,35.9,12.63978128819793,-7.664621782176105,34.37817272944082,35.79076363908174,28.50693805977196,0,104.61596757025036,231.45517779764685,1.9351495200791282,135.67728164512243,255.1718543362299,39.08050636946279
FF,2025-05-18,96.4,-1.65,5.99,"Renfroe, Hunter",575929,608032,field_out,hit_into_play,,,,,8.0,Willson Contreras flies out sharply to right fielder Hunter Renfroe.,R,R,R,KC,STL,X,9,fly_ball,1,1,2025,-0.54,1.14,0.06,2.06,,680977.0,,2,9,Top,191.73,90.68,,,,,5.747751130183888,-140.27656399623058,-7.519852581979396,-8.270638441407677,26.46945267347748,-15.67837717799433,3.47,1.61,314.0,105.8,26.0,97.0,2159.0,6.3,777864,666023,521692,686681,672580,677951,671221,664728,592669,54.22,0.946,1.874,0.0,1.0,0,0,6.0,77,3,4-Seam Fastball,2,1,1,2,1,2,1,2,Strategic,Standard,204.0,0.112,-0.265,78.1,8.1,3.651,0.265,105.8,1,-1,0.888,0.112,32,33,33,33,1,4,4.0,1.0,1.0,1.0,1.28,0.54,0.54,44.5,3.777845314019309,5.774457310482463,36.11262628997618,42.398709718214775,22.91669781957088,1,164.74814719087865,267.3088999587791,4.272128929182394,135.67728164512243,255.1718543362299,31.502747499595593
SL,2025-05-18,88.3,1.17,5.79,"Renfroe, Hunter",663457,663738,field_out,hit_into_play,,,,,5.0,Lars Nootbaar flies out to right fielder Hunter Renfroe.,R,L,L,KC,STL,X,9,fly_ball,3,1,2025,0.01,0.45,0.2,2.22,,650968.0,687363.0,2,6,Top,208.28,119.02,,,,,-2.3993230421699465,-128.70591126731327,-3.650344749060723,0.5371535737613221,24.023434119132684,-26.637902652896123,3.43,1.63,282.0,95.7,54.0,89.1,2290.0,6.5,777864,666023,521692,686681,672580,677951,592192,680118,592669,54.04,0.006,0.005,0.0,1.0,0,0,3.0,51,5,Slider,1,1,1,1,1,1,1,1,Standard,Standard,150.0,0.065,-0.395,77.7,7.7,0.008,0.395,95.7,0,0,0.509,0.491,28,27,29,28,1,3,2.0,1.0,1.0,1.0,2.44,0.01,0.01,37.0,20.010831475020165,-19.2773947014826,28.950056636225945,35.70352701321404,45.78641207946643,1,203.79408397441102,194.91529272232776,7.085040882140831,135.67728164512243,255.1718543362299,90.94367475034952
CH,2025-05-18,85.9,-1.89,5.98,"Renfroe, Hunter",680977,608032,double,hit_into_play,,,,,5.0,Brendan Donovan doubles (15) on a sharp line drive to right fielder Hunter Renfroe.,R,L,R,KC,STL,X,9,line_drive,1,0,2025,-0.59,0.73,-0.26,2.65,,,,1,9,Top,226.17,101.05,,,,,5.073907797167374,-125.15667837090687,-3.191281857348412,-7.219718119738991,22.63396992189384,-24.03080212685978,3.38,1.65,295.0,101.4,21.0,86.4,1547.0,6.3,777864,666023,521692,686681,672580,677951,671221,664728,592669,54.16,0.423,0.547,1.25,1.0,1,1,5.0,75,2,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,238.0,-0.137,0.603,73.7,7.4,0.887,-0.603,101.4,1,-1,0.913,0.087,32,28,33,28,1,4,4.0,1.0,1.0,1.0,2.32,0.59,-0.59,41.5,16.787229260935533,-15.472593310410716,25.9449323825756,40.10030516686392,34.93051215476159,0,212.28223716409607,204.84445753938883,3.3683792815428997,135.67728164512243,255.1718543362299,91.65787515762418
SI,2025-05-14,96.0,-1.1,5.92,"Renfroe, Hunter",701305,547179,single,hit_into_play,,,,,5.0,Zach Dezenzo singles on a line drive to right fielder Hunter Renfroe.,R,R,R,HOU,KC,X,9,line_drive,0,1,2025,-1.38,0.84,0.18,2.69,,,,1,8,Bot,167.19,96.5,,,,,6.453276899685854,-139.46008506267205,-4.71968414046419,-19.458875459000623,35.04624238825895,-20.353952032639885,3.41,1.66,169.0,90.1,11.0,94.5,2060.0,5.8,777920,521692,686469,686681,672580,677951,671221,664728,592669,54.71,0.643,0.595,0.9,1.0,1,0,4.0,61,2,Sinker,2,3,2,3,3,2,2,3,Standard,Standard,229.0,0.07,0.454,70.8,7.1,0.697,-0.454,90.1,-1,-1,0.235,0.235,33,25,33,25,3,2,5.0,2.0,6.0,1.0,1.67,1.38,1.38,41.4,1.440261383371853,21.50235946353307,36.46898770457732,39.92681630639324,19.250535751174635,0,64.16896190768271,156.34367376932897,1.6785031080018935,135.67728164512243,255.1718543362299,121.98544612303505
FF,2025-05-14,95.7,-1.4,5.93,"Renfroe, Hunter",572233,547179,field_out,hit_into_play,,,,,8.0,Christian Walker lines out to right fielder Hunter Renfroe.,R,R,R,HOU,KC,X,9,line_drive,3,2,2025,-1.19,1.12,0.21,1.79,,,,0,2,Bot,186.62,116.68,,,,,6.868293612996332,-139.04208924050596,-7.714791798652191,-17.031043296135348,33.147819762788885,-16.050314413346847,3.37,1.56,255.0,99.2,15.0,94.5,2315.0,5.8,777920,521692,686469,686681,672580,677951,592192,671221,592669,54.67,0.734,0.723,0.0,1.0,0,0,4.0,16,7,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,221.0,-0.024,-0.345,72.8,7.1,0.956,0.345,99.2,-2,-2,0.331,0.331,33,34,33,34,1,0,5.0,1.0,6.0,1.0,1.39,1.19,1.19,44.3,-5.867666168796774,11.889807008921622,38.12600711281837,36.97909280556063,21.09841778233136,1,153.0120006764821,203.99099894108133,2.417926168745392,135.67728164512243,255.1718543362299,54.036769360087504
